"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-meeteenheden",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-meeteenheden","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-meeteenheden","nl",,,,"Dataset codelijst meeteenheden","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-meeteenheden",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst meeteenheden","omg_conceptscheme:meeteenheden","Codelijst meeteenheden",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-meeteenheden.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-meeteenheden.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-meeteenheden.0.1.0","nl",,"omg_dataset:codelijst-meeteenheden",,"Dataset codelijst meeteenheden","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-meeteenheden.0.1.0","2023-07-27","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst meeteenheden","omg_conceptscheme:meeteenheden","Codelijst meeteenheden (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-meeteenheden.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_csv|omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_jsonld|omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_rdf|omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_ttl|omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden_csv",,,,,,"Codelijst meeteenheden, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_csv","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in text/csv formaat.",,"Codelijst meeteenheden, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.0.meeteenheden_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden_jsonld",,,,,,"Codelijst meeteenheden, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_jsonld","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in jsonld rdf-formaat.",,"Codelijst meeteenheden, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.0.meeteenheden_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden_rdf",,,,,,"Codelijst meeteenheden, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_rdf","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in xml rdf-formaat.",,"Codelijst meeteenheden, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.0.meeteenheden_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden_ttl",,,,,,"Codelijst meeteenheden, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_ttl","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in Turtle rdf-formaat.",,"Codelijst meeteenheden, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.0.meeteenheden_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden_xsd",,,,,,"Codelijst meeteenheden, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-meeteenheden.0.1.0.meeteenheden_xsd","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in xml/xsd formaat.",,"Codelijst meeteenheden, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.0.meeteenheden_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.0.meeteenheden.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.0",,,,,,"Codelijst meeteenheden, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.0","2023-07-27",,,,"ovo:OVO003751",,"Codelijst meeteenheden in jar-formaat.",,"Package codelijst-meeteenheden",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-meeteenheden/0.1.0/codelijst-meeteenheden-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-meeteenheden/0.1.0/codelijst-meeteenheden-0.1.0.jar","codelijst-meeteenheden-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-meeteenheden.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-meeteenheden.0.1.1","nl",,"omg_dataset:codelijst-meeteenheden",,"Dataset codelijst meeteenheden","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-meeteenheden.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst meeteenheden","omg_conceptscheme:meeteenheden","Codelijst meeteenheden (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-meeteenheden.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_csv|omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_jsonld|omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_rdf|omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_ttl|omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden_csv",,,,,,"Codelijst meeteenheden, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_csv","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in text/csv formaat.",,"Codelijst meeteenheden, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.1.meeteenheden_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden_jsonld",,,,,,"Codelijst meeteenheden, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_jsonld","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in jsonld rdf-formaat.",,"Codelijst meeteenheden, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.1.meeteenheden_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden_rdf",,,,,,"Codelijst meeteenheden, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_rdf","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in xml rdf-formaat.",,"Codelijst meeteenheden, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.1.meeteenheden_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden_ttl",,,,,,"Codelijst meeteenheden, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_ttl","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in Turtle rdf-formaat.",,"Codelijst meeteenheden, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.1.meeteenheden_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden_xsd",,,,,,"Codelijst meeteenheden, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-meeteenheden.0.1.1.meeteenheden_xsd","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in xml/xsd formaat.",,"Codelijst meeteenheden, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-meeteenheden.0.1.1.meeteenheden_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-meeteenheden.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-meeteenheden.0.1.1.meeteenheden.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.1-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.1","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.1",,,,,,"Codelijst meeteenheden, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden.0.1.1","2023-09-21",,,,"ovo:OVO003751",,"Codelijst meeteenheden in jar-formaat.",,"Package codelijst-meeteenheden",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-meeteenheden/0.1.1/codelijst-meeteenheden-0.1.1.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-meeteenheden/0.1.1/codelijst-meeteenheden-0.1.1.jar","codelijst-meeteenheden-0.1.1.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-meeteenheden","0.1.1"
